,negative,anticipation,anger,surprise,positive,fear,sadness,disgust,trust,joy
193,,,,,1.0,,,,,
194,,,,,,,,,,
195,,,,,,1.0,,,,
196,,,,,,,,,,
197,,1.0,,,1.0,1.0,,,1.0,
198,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
199,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
200,,,,,,,,,,
201,,,,,,,,,,
202,,,,,,,,,,
203,,,,,1.0,,,,,
204,1.0,,,,,1.0,,,,
205,2.0,,,1.0,,2.0,1.0,,,
206,,,,,1.0,,,,1.0,
207,,,,,1.0,,,,1.0,
208,,,,,,,,,,
209,1.0,,1.0,,1.0,1.0,1.0,1.0,,
210,,,,,,,,,,
211,,,,,1.0,,,,1.0,
212,,,,,1.0,,,,1.0,
213,,,,,,,,,,
214,,,,,,,,,,
215,1.0,,,,,1.0,1.0,,,
216,1.0,,1.0,,1.0,1.0,1.0,1.0,,
217,1.0,,1.0,,1.0,1.0,1.0,1.0,,
218,1.0,,1.0,,1.0,1.0,1.0,1.0,,
219,,,,,1.0,,,,,
220,,,,,2.0,,,,,
221,1.0,,1.0,,,1.0,,,1.0,
222,,,,,,,,,,
223,,,,,,,,,,
224,,,,,,,,,,
225,,,,,1.0,,,,,
226,,,,,,,,,,
227,,,,,,,,,,
228,,,,,,,1.0,,1.0,
229,,,,,,,,,,
230,1.0,,,,,,,,,
231,,,,,,,,,1.0,
232,1.0,,,,,,,,,
233,1.0,,,,,,,,,
234,,,,,,,,,,
235,,,,,,,,,,
236,,,,,,,,,,
237,,,,,,,,,,
238,,,,,,,,,,
239,1.0,,,,2.0,,,,,
240,,,,,,,,,,
241,,,,,,,,,,
242,,1.0,,,,,,,,
243,,,,1.0,,,,,,
244,,,,1.0,,,,,,
245,,,,,,,,,1.0,
246,,,,,,,,,1.0,
247,1.0,,1.0,,2.0,1.0,1.0,1.0,,
248,,,,,,,,,,
249,,,,,,,,,,
250,,,,,,,,,,
251,,,,,,,,,,
252,,,,,,,,,,
253,,,,,,,,,,
254,,,,,1.0,,,,1.0,
255,1.0,,,,1.0,,1.0,,,
256,,,,,,,,,,
257,,,,,,,,,,
258,1.0,,,,,,1.0,1.0,1.0,
259,,,,,,,,,,
260,1.0,,,,,,,,,
261,1.0,,1.0,,,,,,,
262,1.0,,1.0,,,,,,,
263,1.0,1.0,,,,,,,1.0,
264,,,,1.0,,,,,,
265,1.0,1.0,1.0,,,2.0,,,,
266,1.0,1.0,,,,,,,,
267,1.0,1.0,,1.0,,1.0,,,1.0,
268,,1.0,,1.0,1.0,,,,,1.0
269,,1.0,,1.0,1.0,,,,,1.0
270,,,,,,,,,,
271,,,,,,,,,,
272,,,,,1.0,,,,,
273,,,,,1.0,,,,,
274,,,,,,,,,,
275,,,,,,,,,,
276,,,,,1.0,,,,1.0,
277,,,,,1.0,,,,,
278,,,,,1.0,,,,1.0,
279,,,,,1.0,,,,1.0,
280,1.0,,1.0,,,,,1.0,,
281,1.0,,1.0,,,,,1.0,,
282,,,,,,,,,,
283,,,,,,,,,,
284,,,,,,,,,,
285,,,,,,,,,,
286,,,,,,1.0,1.0,,,
287,,,,,,,,,,
288,,,,,,,,,,
289,,,,,,,,,,
290,,,,,,,,,,
291,,,,,,,,,,
292,,,,,,,,,,
293,,,,,,,,,,
294,,,,,,,,,,
295,,,,,,,,,,
296,1.0,1.0,,1.0,1.0,,,,1.0,1.0
297,,,,,,,,,,
298,1.0,,,,,,,,,
299,,,,,,,,,,
300,,,,,,,,,,
301,,,,,1.0,,,,,
302,,,,,,1.0,1.0,,1.0,
303,2.0,2.0,1.0,1.0,3.0,2.0,1.0,,,1.0
304,,,,,1.0,,,,1.0,
305,,,,,1.0,,,,1.0,
306,,,,,,,,,,
307,,,,,1.0,,,,1.0,
308,,,1.0,,,1.0,,,,
309,2.0,1.0,,,,1.0,,,,
310,1.0,1.0,1.0,,,1.0,,,,
311,,,,,1.0,,,,1.0,
312,,,,,,,,,,
313,1.0,,,,,1.0,1.0,,,
314,,,,,,,,,1.0,
315,,,,,,,,,,
316,2.0,,,,,2.0,2.0,,,
317,1.0,2.0,,,,1.0,,,,
318,,,,,1.0,,,,,
319,,,,,,,,,,
320,,,,,1.0,,,,1.0,
321,,1.0,,,,,,,,
322,1.0,,1.0,,,,,1.0,,
323,1.0,,2.0,,,1.0,,,,
324,,,,,,,,,,
325,,,,,,,,,,
326,,,,,,,,,,
327,,,,,,,,,,
328,,,,,1.0,,,,,
329,,,,,1.0,,,,,
330,1.0,,,,,1.0,1.0,,,
331,,,,,,,,,,
332,,,,,,,,,,
333,1.0,,,,1.0,,,,,
334,,1.0,,,,,,,,
335,,,,,,,,,,
336,,,,,,1.0,,,,
337,,,,,1.0,,,,2.0,
338,,,,,,,,,,
339,,,,,1.0,,,,1.0,
340,,,,,,,,,,
341,,,,,,,,,,
342,,,,,,,,,,
343,,,1.0,,,,,,,
344,,,1.0,,,,,,,
345,,,,,1.0,1.0,,,,1.0
346,,,,,,,,,,
347,,1.0,,,,,,,,
348,2.0,,1.0,,1.0,1.0,1.0,,1.0,
349,2.0,,1.0,,,1.0,1.0,,,
350,,,,,,,,,,
351,,,,,,,,,,
352,,,,,,,,,,
353,,,,,,,,,,
354,,,,,2.0,,,,2.0,1.0
355,,1.0,,,1.0,,,,1.0,
356,1.0,,1.0,,1.0,,,,1.0,
357,,,,,,,,,,
358,1.0,,1.0,,1.0,,,,,
359,,,,,,,,,,
360,,,,,,,,,,
361,,,,,,,,,,
362,,,,,,,,,,
363,,,,,,,,,,
364,,1.0,,1.0,2.0,,,,,1.0
365,2.0,,1.0,,1.0,1.0,1.0,,,
366,,,,,,,,,,
367,,,,,,,,,,
368,,1.0,,,1.0,,,,,
369,,1.0,,,,1.0,,,,
370,,1.0,,,,,,,1.0,
371,,,,,1.0,,,,1.0,1.0
372,,,,,2.0,,,,,
373,,,,,,,,,,
374,,,,,1.0,,,,,
375,,,,,,,,,,
376,,,,,,,,,,
377,,,,,,,,,,
378,,,,,,,,,,
379,,,,,,,,,,
380,,,,,,,,,,
381,,,,,,,,,,
382,,,,,,,,,,
383,,,,,,,,,,
384,,,,,,,,,,
385,,,,,,,,,,
386,,1.0,,1.0,1.0,,,,1.0,1.0
387,,1.0,,1.0,1.0,,,,1.0,1.0
388,,,,,,,,,,
389,1.0,,1.0,,,1.0,1.0,1.0,,
390,,,,,,,,,,
391,,,,,,,,,,
392,,,,,,,,,,
393,,,,,,,,,,
394,,,,,,,,,,
395,,1.0,,,1.0,,,,1.0,
396,,,,,,,,,,
397,,,,,,,,,,
398,1.0,1.0,,,,2.0,,,1.0,
399,1.0,1.0,,,,2.0,,,1.0,
400,,,,,,,,,,
401,,,,,1.0,,,,1.0,
402,,,,,1.0,,,,1.0,
403,,,,,,,,,,
404,,,,,,,,,,
405,,,,,,1.0,1.0,,2.0,
406,,,,,,1.0,1.0,,2.0,
407,,,,,,,,,,
408,,,,,,,,,,
409,,,,,,,1.0,,,
410,,,,,,,1.0,,,
411,,,,1.0,,,,,,
412,,,,1.0,,,,,,
413,,,,,,,,,,
414,,,,,,,,,,
415,,,,,,,,,,
416,,,,,,,,,,
417,2.0,1.0,,,,1.0,1.0,1.0,1.0,
418,,,,,,,,,,
419,,,,,,,,,,
