,negative,anticipation,anger,surprise,positive,fear,sadness,disgust,trust,joy
830,,1.0,,,1.0,1.0,,,1.0,
831,,1.0,,,1.0,1.0,,,1.0,
832,,,,,,,,,,
833,,,,,,,,,,
834,,,,,,,,,,
835,,,,,,,,,,
836,,,,,,,,,,
837,,,,,,,,,,
838,,,,,,,,,,
839,,,,,,,,,,
840,,,,,,,,,,
841,2.0,1.0,,2.0,1.0,1.0,,,2.0,
842,,1.0,,,1.0,,,,1.0,
843,,1.0,,,1.0,,,,1.0,
844,,1.0,,,1.0,,,,1.0,
845,,1.0,,,1.0,,,,1.0,
846,,,,,,,,,,
847,,,,,,,,,,
848,,1.0,,,,,,,,
849,1.0,,1.0,,1.0,1.0,1.0,1.0,,
850,,,,,,,,,,
851,,,,,,,,,,
852,,,,,,,,,,
853,,,,,,,,,,
854,,,,,,,,,,
855,,,,,,,,,,
856,,,,,,,,,,
857,,,,,,,,,,
858,1.0,,1.0,,1.0,1.0,,,1.0,
859,,,,,,,,,,
860,,1.0,,,1.0,,,,1.0,
861,,,,,,,,,,
862,,,,,,,,,,
863,,1.0,,,1.0,,,,1.0,
864,,,,,,,,,,
865,,,,,,,,,,
866,,,,,,,,,,
867,,,,,,,,,,
868,,,,,,,,,,
869,,,,,,,,,,
870,,,,,,,,,,
871,1.0,1.0,,1.0,1.0,,,,1.0,1.0
872,,1.0,,,1.0,,,,1.0,
873,,,,,,,,,,
874,,,,,,,,,,
875,,,,,1.0,,,,,
876,1.0,,,,,,,,,
877,,,,,1.0,,,,,
878,,,,,,,,,,
879,,,,,,1.0,,,,
880,1.0,,,,,,,,,
881,,,,,,,,,,
882,,,,,,,,,,
883,,,,,,,,,,
884,,,,,,,,,,
885,,,,,,,,,,
886,,,,,,,,,,
887,,,,,,,,,,
888,,,,,,,,,,
889,,,,,,,,,,
890,1.0,,,1.0,1.0,,1.0,,1.0,1.0
891,,,,,,,,,,
892,1.0,,,,1.0,1.0,,1.0,1.0,
893,1.0,,1.0,,,1.0,1.0,1.0,,
894,,,,,,,,,,
895,,,,,,,,,,
896,,,,,,,,,,
897,1.0,,,,,,,,,
898,,1.0,,1.0,1.0,,,,2.0,1.0
899,,,,,,,,,,
900,,,,,,,,,,
901,,1.0,,,,,,,,
902,,,,,,,,,,
903,,,,,,,,,,
904,,,,,,,,,,
905,1.0,,1.0,,1.0,1.0,,,,
906,,,,,,,,,,
907,,,,,,,,,,
908,,,,,,,,,,
909,,,,,,,,,,
910,,,,,,,,,,
911,,,,,,,,,,
912,1.0,,,,,1.0,1.0,,,
913,1.0,,1.0,,,1.0,,,,
914,,,,,,,,,,
915,,,,,,,,,,
916,,,,,,,,,,
917,1.0,2.0,1.0,1.0,2.0,,1.0,1.0,1.0,1.0
918,,,,,,,,,,
919,,,,,,,,,,
920,1.0,,,,,,,,1.0,
921,,,,,,,,,,
922,,,,,,,,,,
923,,,,,,,,,,
924,,,,,,,,,,
925,1.0,,,,1.0,1.0,1.0,,1.0,1.0
926,,,,,,,,,,
927,,,,,1.0,,,,1.0,1.0
928,,,,,,,,,,
929,,1.0,,,,,,,,
930,,,,,,,,,,
931,,1.0,,,,,,,1.0,
932,,1.0,,,,,,,1.0,
933,,1.0,,,,,,,,
934,,,,,,,,,,
935,3.0,2.0,,,,,,1.0,1.0,
936,,,,,2.0,,,,,
937,,,,,,,,,,
938,,,,,,,,,,
939,,1.0,,,,,,,,
940,,,,,,,,,,
941,,,,,1.0,,,,,
942,,,,,1.0,,,,,
943,,,,,,,,,,
944,,1.0,,,,,,,,
945,1.0,,,,,1.0,1.0,,,
946,1.0,,,,,1.0,1.0,,,
947,,,,,,,,,,
948,,2.0,,2.0,3.0,,,,2.0,2.0
949,,2.0,,2.0,3.0,,,,2.0,2.0
950,1.0,,,,,1.0,1.0,1.0,,
951,,,,,,,,,,
952,,,,,,,,,,
953,,,,,,,,,,
954,,,,,,,,,,
955,,,,,,,,,,
956,,,,,,,,,,
957,,,,,,,,,,
958,,,,,1.0,,,,1.0,1.0
959,1.0,1.0,,1.0,2.0,1.0,1.0,1.0,2.0,2.0
960,1.0,1.0,,1.0,2.0,1.0,1.0,1.0,2.0,2.0
961,,,,,,,,,,
962,,,,,,,,,,
963,,,,,,,,,,
964,,,,,,,,,,
965,,,,,,,,,,
966,,,,,,,,,,
967,,,,,,,,,,
968,,,,,,,,,,
969,,,,,,,,,,
970,,,,,,,,,,
971,,,,,,,,,,
972,,,,,,,,,,
973,,,,,,,,,,
974,,,,1.0,,,,,,
975,,,,1.0,,,,,,
976,,,,1.0,,,,,,
977,,,,1.0,,,,,,
978,,1.0,,,2.0,,,,,
979,,1.0,,,2.0,,,,,
980,,,,,,,,,,
981,1.0,1.0,,,,,,,,
982,,,,,,,,,,
983,1.0,1.0,,,,,,,,
984,1.0,1.0,,,,,,,,
985,,,,,,,,,,
986,,,,,,,,,,
987,1.0,,,,,,,1.0,1.0,
988,,,,,1.0,1.0,,,,
989,1.0,1.0,,,,,,,,
990,,1.0,,1.0,2.0,,,,1.0,1.0
991,,,,,,,,,,
992,,,,,,,,,,
993,1.0,,,,,,1.0,1.0,,
994,,,,,,,,,,
995,,,,,1.0,,,,,
996,,,,,,,,,,
997,,,,,,,,,,
998,,,,,,,,,,
999,,,,,,,,,,
1000,1.0,2.0,,,2.0,1.0,1.0,,2.0,
1001,1.0,,1.0,1.0,3.0,1.0,1.0,,1.0,1.0
1002,1.0,,1.0,1.0,3.0,1.0,1.0,,1.0,1.0
1003,,2.0,,,1.0,,1.0,,1.0,1.0
1004,,2.0,,,1.0,,1.0,,1.0,1.0
1005,,,,,,,,,,
1006,1.0,,1.0,,,,,,,
1007,1.0,,1.0,,,,,,,
1008,1.0,,1.0,,1.0,,,,,
1009,1.0,1.0,,,1.0,,,,1.0,
1010,1.0,1.0,,,1.0,,,,1.0,
1011,,,,,,,,,,
1012,,,,,,,,,,
1013,,,,,,,,,,
1014,2.0,1.0,,,,,1.0,,,
1015,,,,,,,,,,
1016,,,,,,,,,,
1017,,,,1.0,1.0,,,,,1.0
1018,,,,,,,,,,
1019,,,,,,,,,,
1020,1.0,,1.0,,1.0,1.0,1.0,1.0,,
1021,,,,,,,,,,
1022,,,1.0,,,,,,,
1023,,,,,,,,,,
1024,,,,,,,,,,
1025,,,,,,,,,,
1026,,,,,,,,,,
1027,,,,,,,,,,
1028,,,,,,,,,,
1029,,,,,,,,,,
1030,,,,,,,,,,
1031,,,,,,,,,,
1032,1.0,1.0,1.0,,,1.0,1.0,,,
1033,,,,,,,,,,
1034,,,,,,,,,,
1035,,1.0,,,1.0,,,,,
1036,,1.0,,,1.0,,,,,
1037,,,,,,,,,,
1038,1.0,1.0,,,1.0,,,,2.0,1.0
1039,,,,,,,,,,
1040,,,,,,,,,,
1041,,,,,,,,,,
1042,,,,,,,,,,
1043,1.0,,1.0,1.0,2.0,1.0,1.0,,,
1044,,,,,,,,1.0,,
1045,,,,,,,,,,
1046,,,,,,,,,,
1047,,,,,,,,,,
1048,,,,,1.0,,,,1.0,
1049,1.0,,,1.0,,1.0,,,,
1050,,1.0,,,,,,,,
1051,,1.0,,,,,,,,
1052,,,,,,,,,,
1053,,,,,,,,,,
1054,,,,,,,,,,
1055,,,1.0,,,1.0,,,,
1056,,1.0,,,,,,,,
1057,,1.0,,,,,,,,
1058,,,,,,,,,,
1059,,,1.0,,,1.0,,,,
1060,1.0,,,,2.0,,,,,
1061,1.0,,,,3.0,,,,,
1062,1.0,,,,3.0,,,,,
1063,1.0,,,,3.0,,,,,
1064,1.0,,,,3.0,,,,,
1065,1.0,,,,,2.0,1.0,,,
1066,1.0,,,,,2.0,1.0,,,
1067,,,,,1.0,,,,1.0,
1068,,,,,,,,,,
1069,,,,,1.0,,,,,
1070,,,,,,,,,,
1071,,,,,,,,,,
1072,,,,,,,,,,
1073,,,,,,,,,,
1074,,,1.0,,,,,,,
1075,,,,,,,,,,
1076,,,,,,,,,,
1077,1.0,,1.0,,,,,,,
1078,,,,,,,,,,
1079,,,,,,,,,,
1080,,1.0,,1.0,1.0,,,,1.0,1.0
1081,,,,,1.0,,,,1.0,1.0
1082,,,,,1.0,,,,1.0,1.0
1083,,,,,,,,,,
1084,,,,,,,,,,
1085,,,,,,,,,,
1086,,,,,,,,,,
1087,,,,,,,,,,
1088,,,,,1.0,,,,,
1089,,,,,1.0,,,,,
1090,1.0,,,,1.0,,,,,
1091,,,,,,,,,,
1092,,,,,,,,,,
1093,2.0,1.0,,1.0,,2.0,1.0,,1.0,
1094,,,,,,,,,,
1095,,,,,,,,,,
1096,,,,,,,,,,
1097,1.0,1.0,,,1.0,1.0,1.0,,1.0,1.0
1098,1.0,1.0,1.0,,,,,,2.0,
1099,1.0,1.0,1.0,,,,,,2.0,
1100,,,,1.0,1.0,,,,1.0,1.0
1101,,,,,1.0,,,,,
1102,,,,,,1.0,,,1.0,
1103,,,,,,1.0,,,,
1104,,,,,,1.0,,,,
1105,,2.0,,1.0,,,,,,
1106,1.0,,,,1.0,,1.0,,,
1107,,,,,,,,,,
1108,,,,,,,,,,
1109,1.0,,1.0,,,,,,,
1110,1.0,,1.0,,,,1.0,1.0,,
1111,,,,,,,,,,
1112,,,1.0,,,,,,,
1113,1.0,,,,1.0,,,,,
1114,,,,,,,,,,
1115,,,,,1.0,,,,1.0,1.0
1116,1.0,1.0,,,,1.0,,,,
1117,,,,2.0,,,,,,
1118,,,,,1.0,,,,1.0,1.0
1119,,,,,1.0,,,,1.0,
1120,1.0,,,,1.0,,,,2.0,
1121,,1.0,,,,,,,,
1122,1.0,,1.0,,,,,,1.0,
1123,1.0,,1.0,,,,,,1.0,
1124,1.0,,,,,,,,,
1125,1.0,,,,,,,,,
1126,1.0,,1.0,,,,,,,
1127,,,,,1.0,,,,,
1128,1.0,,,,,1.0,1.0,,,
1129,1.0,,,,,,,,,
1130,1.0,,,,,,,,,
1131,,,,,,,,,,
1132,1.0,,,,,,1.0,,,
1133,,,,,,,,,,
1134,,,,,,,,,,
1135,1.0,1.0,,,,,,,,
1136,,,,,,,,,,
1137,1.0,,1.0,,,1.0,,,,
1138,,,,,,,,,,
1139,,1.0,,,,,,,,
1140,,1.0,,,,,,,,
1141,,,,,1.0,,,,,1.0
1142,1.0,1.0,1.0,,,1.0,1.0,,,
1143,,,,,1.0,,,,1.0,
1144,,,,,,,,,,
1145,1.0,1.0,1.0,,,1.0,1.0,,,
1146,,,,,,,,,,
1147,1.0,,1.0,,,1.0,1.0,,,
1148,1.0,,1.0,,,1.0,1.0,,,
1149,1.0,,1.0,,,1.0,1.0,,,
1150,1.0,,1.0,,,1.0,1.0,,,
1151,,,,,,,,,,
1152,,,,,,,,,,
1153,,,,,,,,,,
1154,,,,,,,,,,
1155,,,,,,,,,,
1156,1.0,1.0,1.0,,,1.0,,,,
1157,,,,,1.0,,,,,
1158,,,,,1.0,,,,,
1159,1.0,1.0,1.0,1.0,,1.0,,,,
1160,1.0,1.0,1.0,1.0,,1.0,,,,
1161,,,,,,,,,,
1162,,1.0,,,,,,,,
1163,1.0,,,,,,,,,
1164,,,,,1.0,,,,,
1165,,,,,1.0,,,,,
1166,1.0,,,,,,,,,
1167,,,1.0,,1.0,,,,,
1168,,,1.0,,,,,,,
1169,,,,,,,,,,
1170,,,,,,,,,,
1171,,,,,,,,,,
1172,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1173,,,,,1.0,,,,1.0,
1174,1.0,,,,,1.0,1.0,,,
1175,,,,,1.0,1.0,,,,
1176,1.0,,,,,,1.0,,,
1177,,,,,,,,,,
1178,,,,,,,,,,
1179,1.0,1.0,,,1.0,,,,1.0,
1180,1.0,1.0,,,1.0,,,,1.0,
1181,1.0,1.0,,,1.0,,,,1.0,
1182,1.0,1.0,,,1.0,,,,1.0,
1183,3.0,,3.0,,1.0,1.0,1.0,2.0,,
1184,,1.0,,,,,,,,
1185,,,,,,1.0,,,1.0,
1186,,,,,,,,,,
1187,,,,,,,,,,
1188,,,,,,,,,,
1189,,,,,1.0,,,,,
1190,,1.0,,2.0,1.0,,,,1.0,1.0
1191,,,,,,,,,,
1192,,,,,,,,,,
1193,,,,,,,,,,
1194,,,,,,,,,,
1195,,,,,,,,,,
1196,,,,,,,,,,
1197,,,,,,,,,,
1198,,,,,,,,,,
1199,,1.0,,,,,,,,
1200,,,,,1.0,,,,,
1201,,,,,1.0,,,,,
1202,,,,,1.0,,,,,
1203,,,,,,,,,,
1204,,,,,,,,,,
1205,,,,,,,,,,
1206,,,,,,,,,,
1207,,,1.0,,,1.0,1.0,,1.0,
1208,,,1.0,,,1.0,1.0,,1.0,
1209,1.0,,,1.0,,1.0,,,1.0,
1210,,,,,2.0,,,,2.0,1.0
1211,,,,,2.0,,,,2.0,1.0
1212,,,,,,,,,1.0,
1213,,,,,,,,,1.0,
1214,1.0,,,1.0,,1.0,1.0,,,
1215,,,,,,1.0,,,,
1216,,,,,1.0,,,,1.0,1.0
1217,,,,,,,,,,
1218,2.0,,1.0,,,1.0,1.0,1.0,,
1219,1.0,,,,,,1.0,,,
1220,,1.0,,1.0,2.0,,,,1.0,2.0
1221,,,,,,,,,1.0,
1222,,,,,2.0,,,,1.0,1.0
1223,,,,,2.0,,,,1.0,1.0
1224,,,,,2.0,,,,1.0,1.0
1225,,,,,2.0,,,,1.0,1.0
1226,,,,,,,,1.0,,
1227,,,,,,,,,,
1228,,,,,,,,,,
1229,,,,,,,,,,
1230,2.0,1.0,1.0,1.0,,1.0,2.0,2.0,,
1231,,,,,,,,,,
1232,,,,,,,,,,
1233,2.0,1.0,1.0,1.0,,1.0,2.0,2.0,,
1234,1.0,,1.0,,,,,,,
1235,1.0,,1.0,,,,,,,
1236,,,,,,,,,,
1237,,,,,,,,,,
1238,,,,,,,,,,
1239,,,,,,,,,,
1240,,,,,,,,,,
1241,,1.0,,,2.0,1.0,,,1.0,
1242,,1.0,,,2.0,1.0,,,1.0,
1243,,1.0,,,1.0,,,,,
1244,,1.0,,,1.0,,,,,
1245,1.0,,,,,,1.0,1.0,,
1246,,1.0,,,,,,,,
1247,2.0,1.0,1.0,2.0,,2.0,2.0,2.0,,
1248,2.0,1.0,1.0,2.0,,2.0,2.0,2.0,,
1249,2.0,1.0,1.0,2.0,,2.0,2.0,2.0,,
1250,,,,,,,,,,
1251,2.0,1.0,1.0,2.0,,2.0,2.0,2.0,,
1252,2.0,1.0,1.0,2.0,,2.0,2.0,2.0,,
1253,2.0,1.0,1.0,2.0,,2.0,2.0,2.0,,
1254,2.0,1.0,1.0,2.0,,2.0,2.0,2.0,,
1255,,,,,,,,,,
1256,2.0,,1.0,,,1.0,1.0,,,
1257,,,,,1.0,,,,1.0,
1258,,,,,1.0,,,,1.0,
1259,,,,,1.0,,,,1.0,
1260,,,,,1.0,,,,1.0,
1261,,1.0,1.0,1.0,1.0,,,,1.0,1.0
1262,,,,,1.0,,,,,
1263,,,,,,,,,,
1264,1.0,,1.0,,,,,,,
1265,,,,,,1.0,,,,
1266,1.0,,,,,,,,,
1267,,,,,1.0,,,,1.0,
1268,,,,,,,,,,
1269,,,,,,,,,,
1270,1.0,,,,,,,,,
1271,,,,,,,,,,
1272,,,,,,,,,,
1273,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,
1274,3.0,1.0,1.0,1.0,,2.0,2.0,1.0,,
1275,3.0,1.0,1.0,1.0,,2.0,2.0,1.0,,
1276,1.0,1.0,,1.0,,1.0,1.0,,,
1277,2.0,,1.0,,,1.0,,,,
1278,,,,,1.0,,,,,
1279,,,,,1.0,,,,,
1280,,1.0,,,1.0,1.0,1.0,,1.0,
1281,,1.0,,,1.0,1.0,1.0,,1.0,
1282,,,,,,,,,,
1283,,,,,,1.0,,,,
1284,,,,,,,,,,
1285,1.0,,,,1.0,1.0,,,,
1286,,,,,,,,,,
1287,,,,,,,,,,
1288,,,,,,,,,,
1289,,,,,,,,,,
1290,2.0,,,,2.0,2.0,1.0,1.0,2.0,
1291,,,,,,,,,,
1292,1.0,,,,,,,,,
1293,,,,,1.0,,,,,
1294,,1.0,,1.0,1.0,,,,2.0,1.0
1295,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,,
1296,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,,
1297,,,,,2.0,,,,,
1298,,,,,2.0,,,,,
1299,,,,,2.0,,,,,
1300,,,,,1.0,,,,,
1301,,,,,1.0,,,,,
1302,,,,,2.0,,,,1.0,1.0
1303,,,,,,,,,,
1304,,,,,,,,,,
1305,1.0,,,,,,,,,
1306,1.0,,,,,,,,,
1307,,,,,,,,,,
1308,,,,,,,,,,
1309,,,,,,,,,1.0,
1310,,,,,,,,,,
1311,,,,,,,,,,
1312,,,,,,,,,,
1313,,,,,,,,,,
1314,,,,,,1.0,,,,
1315,2.0,1.0,,,,1.0,,,1.0,
1316,2.0,1.0,,,,1.0,,,1.0,
1317,,,,,,,,,,
1318,,,,,,,,,,
1319,,,,,,,,,,
1320,,,,,,,,,,
1321,1.0,,1.0,,,,,,1.0,
1322,3.0,,1.0,,,1.0,1.0,,,
1323,,,,,,,,,,
1324,,,,,,,,,,
1325,,,,,,,,,,
1326,,,,,,,,,,
1327,,,,,,,,,,
1328,1.0,,,,1.0,,,,1.0,
1329,,,,,1.0,,,,,
1330,,1.0,,,1.0,,,,1.0,
1331,1.0,,,,,,1.0,,,
1332,,,,1.0,,,,,,
1333,1.0,,,,1.0,,,,1.0,
1334,1.0,,,,,,,,,
1335,1.0,,,,,,,,,
1336,,,,,,,,,,
1337,,,,,,,,,,
1338,,1.0,,,2.0,1.0,,,1.0,
1339,1.0,,1.0,,,1.0,1.0,1.0,,
1340,,,,,,,,,,
1341,,,,1.0,1.0,,,,,
1342,,1.0,,1.0,,,,,,
1343,,1.0,,,,1.0,,,,
1344,,1.0,,,,1.0,,,,
1345,,,,,,,,,,
1346,,1.0,,1.0,1.0,,,,,
1347,,,,,,,,,,
1348,,,,,1.0,,,,,
1349,,1.0,,1.0,1.0,,,,,1.0
1350,1.0,1.0,,,,,,,,
1351,,,,,,,,,,
1352,2.0,,,,1.0,1.0,1.0,,1.0,
1353,,,,,,1.0,,,,
1354,,,,,,1.0,,,,
1355,2.0,1.0,,1.0,1.0,2.0,1.0,1.0,1.0,
1356,,,,,,1.0,,,,
1357,2.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,,
1358,,,,,,,,,,
1359,,,,,,,,,,
1360,,,,,1.0,,,,,
1361,,,,,,,,,,
1362,,,,,,,,,,
1363,,,,,,,,,,
1364,,,,,1.0,,,,,
1365,,,,,,,,,,
1366,,,,,1.0,,,,,
1367,,,,,,,,,,
1368,,1.0,1.0,1.0,,1.0,,,,
1369,,,,,,,,,,
1370,,,,,,,,,,
1371,,,,,,,,,,
1372,,,,,,,,,,
1373,1.0,,,,,1.0,1.0,,,
1374,,,,,,1.0,,,,
1375,,,1.0,,,,,,,
1376,,,,,,,,,,
1377,,,,,,,,,,
1378,,,,,,,,,,
1379,,,,,,,,,,
1380,,,,,,,,,,
1381,,,,,,,,,,
1382,,,,,,,,,,
1383,,1.0,,1.0,1.0,,,,,
1384,,,,,,,,,,
1385,1.0,,,,1.0,1.0,1.0,,,
1386,,,,,,,,,,
1387,,,,,,,,,,
1388,,1.0,,,,,,,,
1389,,,,,,,,,,
1390,1.0,,,,1.0,,1.0,,,
1391,,,,,2.0,,,,1.0,
1392,,,,,,,,,,
1393,,,,,1.0,,,,,
1394,,,,,,,,,,
1395,,,,,,,,,,
1396,1.0,,,,,2.0,,,,
1397,,,,,,,,,,
1398,,,,,,,,,,
1399,,,,,,,,,,
1400,,,,,,,,,,
1401,,,,,2.0,,,,1.0,1.0
1402,1.0,1.0,,,1.0,,,,1.0,
1403,1.0,,,,1.0,,,,,
1404,2.0,1.0,,,,1.0,,,,
1405,,,,,,,,,,
1406,,,,,2.0,,,,1.0,
1407,1.0,1.0,1.0,1.0,,2.0,1.0,1.0,,
1408,,,,,,,,,,
1409,,,,,,,,,,
1410,,,,,,,,,,
1411,,,,,,,,,,
1412,1.0,,,,1.0,1.0,,,2.0,
1413,,,,,,,,,,
1414,,,,,,,,,,
1415,,,,,,,,,,
1416,1.0,,1.0,,,1.0,,,,
1417,1.0,,,,,,1.0,1.0,,
1418,1.0,,,,,,1.0,1.0,,
1419,1.0,,,,,,1.0,1.0,,
1420,1.0,,,,,,1.0,1.0,,
1421,,1.0,,,,,,,,
1422,2.0,,,,1.0,2.0,1.0,,,
1423,1.0,,1.0,,,1.0,,,,
1424,,,,,,,,,,
1425,1.0,,,,,,,,,
1426,1.0,2.0,1.0,1.0,,1.0,1.0,1.0,,
1427,1.0,,,,,,,,,
1428,1.0,,,,,,,,,
1429,1.0,,,,,,,,,
1430,1.0,,,,,,,,,
1431,1.0,,,,,,,,,
1432,,1.0,1.0,1.0,2.0,1.0,,,1.0,2.0
1433,1.0,,,,,,,,,
1434,1.0,,,,,,,,,
1435,2.0,,,,,2.0,2.0,,,
1436,2.0,,1.0,1.0,,2.0,1.0,1.0,,
1437,1.0,,,,,,,,,
1438,1.0,,,,,,,,,
1439,1.0,,,,,,,,,
1440,1.0,,,,,,,,,
1441,1.0,,,,,,,,,
1442,,,,,,,,,,
1443,,,,,,,,,,
1444,,,,,1.0,,,,,
1445,,,,,,,,,,
1446,1.0,,,,,,1.0,,,
1447,,,,,1.0,,,,1.0,
1448,,,,,1.0,,,,1.0,
1449,1.0,2.0,,,,1.0,,,1.0,
1450,,,,,1.0,,,,1.0,
1451,,2.0,,,2.0,1.0,,,2.0,1.0
1452,,,,,1.0,,,,,
1453,1.0,,,,1.0,1.0,,,,
1454,,,,,,,,,,
1455,,1.0,1.0,1.0,1.0,,,,1.0,1.0
1456,,,,,,,,,,
1457,,,,,,,,,,
1458,1.0,,,,1.0,,1.0,,,
1459,,,,,2.0,,,,1.0,
1460,,,,,,,,,,
1461,3.0,,,,,1.0,2.0,,,
1462,2.0,,1.0,,,1.0,,,,
1463,1.0,,,1.0,,,,1.0,1.0,
1464,1.0,,1.0,,,1.0,1.0,,,
1465,1.0,,1.0,,,1.0,1.0,,,
1466,,2.0,1.0,,1.0,,,,1.0,
1467,,,,,,,,,,
1468,,1.0,,1.0,1.0,,,,1.0,1.0
1469,1.0,,1.0,,,,,1.0,,
1470,,,,,,,,,,
1471,,,,,,,,,,
1472,1.0,,,,,1.0,,,,
1473,1.0,,1.0,,,,,1.0,,
1474,,1.0,,1.0,1.0,,,,,1.0
1475,,1.0,,1.0,1.0,,,,,1.0
1476,,,,,,,,,,
1477,,,,,,,,,,
1478,,,,,,,,,,
1479,1.0,,,,1.0,,,,,
1480,1.0,,,,1.0,,1.0,,,
1481,1.0,,,,1.0,,1.0,,,
1482,1.0,,,,1.0,,1.0,,,
1483,,,,,,,,,,
1484,,,,,1.0,,,,,
1485,,,,,,,,,,
1486,,,,,,,,,,
1487,1.0,,1.0,,,,,,,
1488,1.0,,1.0,,,,,,,
1489,1.0,,1.0,,,,,,,
1490,,,,1.0,1.0,,,,,
1491,,,1.0,,,,,,,
1492,1.0,,,,,1.0,,,,
1493,,,,,1.0,,,,1.0,
1494,,,,,1.0,,,,1.0,
1495,,,,,1.0,,,,1.0,
1496,,,,,,,,,,
1497,1.0,,,,,1.0,1.0,,2.0,
1498,,,,,,,,,,
1499,,1.0,,,2.0,,,,1.0,2.0
1500,,1.0,,,2.0,,,,1.0,2.0
1501,,1.0,,,2.0,,,,1.0,2.0
1502,,1.0,,,2.0,,,,1.0,2.0
1503,,,,,,,,,,
1504,,,,,,,,,,
1505,1.0,,,,,,,,,
1506,,,,,1.0,,,,,
1507,,,,,,,,,,
1508,,,,,,,,,,
1509,,,,,,,,,,
1510,,,,,,,,,,
1511,,,,,,,,,,
1512,2.0,,,,,,,1.0,,
1513,,,,,,,,,,
1514,,1.0,,,1.0,,,,,
1515,,,,,,,,,,
1516,1.0,,,,,1.0,1.0,,,
1517,,,,1.0,,1.0,1.0,,1.0,
1518,1.0,,,,,1.0,1.0,,,
1519,,,1.0,,,,,,,
1520,,,1.0,,,,,,,
1521,,,,,,,,,,
1522,,,,,,,,,,
1523,,,,,,,,,,
1524,,,,,,,,,,
1525,,,,,,,,,,
1526,,,,,,,,,,
1527,,,,,,,,,,
1528,1.0,,,,1.0,1.0,1.0,,,
1529,,,,,,,,,1.0,
1530,1.0,,1.0,,,,,,,
1531,,2.0,,1.0,1.0,,,,1.0,1.0
1532,1.0,,1.0,,,1.0,1.0,1.0,,
1533,,,,,,,,,,
1534,1.0,1.0,1.0,,,1.0,1.0,1.0,,
1535,1.0,,1.0,,1.0,,,,,
1536,1.0,,1.0,,1.0,,,,,
1537,,,,,,,,,,
1538,,,1.0,,,,,,,
1539,,,,,,,,,,
1540,,1.0,,,1.0,,,,1.0,1.0
1541,1.0,1.0,1.0,,1.0,,,,,
1542,1.0,1.0,1.0,,1.0,,,,,
1543,,,,,,,,,,
1544,2.0,,,,1.0,1.0,,,1.0,
1545,,,,,,,,,,
1546,,,,,,,,,,
1547,,,,,,,,,,
1548,,,,,,,,,,
1549,,,,,1.0,,,,,
1550,,,,,1.0,,,,,
1551,,,,,1.0,,,,,
1552,,,,,1.0,,,,,
1553,,,,,1.0,,,,,
1554,,,,,1.0,,,,,
1555,,,,,1.0,,,,,
1556,,,,,1.0,,,,,
1557,,,,,,,,,,
1558,,,,,,,,,,
1559,,1.0,,1.0,2.0,,,1.0,2.0,1.0
1560,,1.0,,1.0,2.0,,,1.0,2.0,1.0
1561,1.0,,,,,1.0,1.0,,,
1562,,,,,,,,,,
1563,,,,,,,,,,
1564,,,,,,,,,,
1565,,,,,,,,,,
1566,,,,,,,,,,
1567,,,,,,,,,,
1568,,,,1.0,,,,,,
1569,2.0,,1.0,,1.0,1.0,1.0,,1.0,
1570,2.0,,1.0,,1.0,1.0,1.0,,1.0,
1571,1.0,,,,1.0,,,,,
1572,1.0,,,,1.0,,,,,
1573,1.0,,,,1.0,,,,,
1574,1.0,,,,1.0,,,,,
1575,,,,,1.0,,,,,
1576,,,,,,,,,,
1577,1.0,1.0,,,,1.0,,,,
1578,,,,,2.0,,,,1.0,
1579,,,,,,,,,,
1580,,,,,,,,,,
1581,1.0,,,,,1.0,1.0,,,
1582,1.0,,,,,1.0,1.0,,,
1583,1.0,,,,,1.0,1.0,,,
1584,,,1.0,,1.0,,,,1.0,1.0
1585,1.0,,,,,,,1.0,1.0,
1586,1.0,,1.0,,,1.0,,,,
1587,1.0,,,,,1.0,1.0,,,
1588,,,,,,,,,,
1589,,,,,,,,,,
1590,,,,,,,1.0,,,
1591,,,,,,,,,,
1592,,,,,1.0,,,,,
1593,,,,,1.0,,,,,
1594,,,,,,,,,,
1595,1.0,1.0,,,1.0,,,,1.0,1.0
1596,1.0,1.0,,,1.0,,,,1.0,1.0
1597,1.0,1.0,,,1.0,,,,1.0,1.0
1598,,,,,,,,,,
1599,,,,,,,,,,
1600,,,,,,,,,,
1601,,,,,,,,,,
1602,,,,,,,,,,
1603,,,,,1.0,,,,,
1604,,,,,,,,,,
1605,,,,,,,,,,
1606,,,,,,,,,,
1607,,,,,,,,,,
1608,,,,,,,,,,
1609,,,,,,,,,,
1610,,,,,,,,,,
1611,,,,,,,,,,
1612,,,,,1.0,,,,,
1613,1.0,,,,1.0,,,,,
1614,,,,,,2.0,,,,
1615,1.0,,,,,,,,,
1616,,,,,,,,,,
1617,1.0,,,,,,,,1.0,
1618,1.0,1.0,1.0,,2.0,2.0,1.0,,3.0,1.0
1619,1.0,1.0,1.0,,2.0,2.0,1.0,,3.0,1.0
1620,3.0,2.0,,1.0,1.0,1.0,,,1.0,1.0
1621,,,1.0,,,,,,,
1622,,,,,,,,,1.0,
