,fear,negative,sadness,positive,trust,surprise,anticipation,joy,anger,disgust
1366,5.0,7.0,5.0,7.0,2.0,4.0,4.0,1.0,4.0,3.0
1367,22.0,35.0,24.0,47.0,38.0,9.0,17.0,10.0,7.0,7.0
1368,3.0,2.0,2.0,4.0,,1.0,1.0,,1.0,2.0
1369,19.0,28.0,17.0,48.0,15.0,7.0,26.0,14.0,8.0,9.0
1370,13.0,12.0,8.0,45.0,24.0,1.0,15.0,4.0,2.0,3.0
1371,13.0,12.0,8.0,45.0,24.0,1.0,15.0,4.0,2.0,3.0
1372,5.0,8.0,8.0,20.0,10.0,1.0,2.0,,5.0,
1373,94.0,107.0,46.0,149.0,108.0,20.0,51.0,34.0,45.0,25.0
1374,76.0,82.0,36.0,121.0,86.0,17.0,43.0,25.0,38.0,21.0
1375,18.0,25.0,13.0,44.0,27.0,8.0,14.0,6.0,8.0,5.0
1376,3.0,5.0,,23.0,12.0,,3.0,4.0,2.0,
1377,230.0,314.0,163.0,494.0,241.0,59.0,213.0,106.0,68.0,44.0
1378,15.0,27.0,14.0,38.0,19.0,11.0,26.0,10.0,8.0,9.0
1379,254.0,333.0,187.0,512.0,267.0,61.0,199.0,72.0,99.0,70.0
1380,7.0,10.0,7.0,17.0,13.0,2.0,9.0,3.0,,2.0
1381,15.0,27.0,14.0,38.0,19.0,11.0,26.0,10.0,8.0,9.0
1382,176.0,261.0,141.0,401.0,217.0,58.0,153.0,62.0,69.0,60.0
1383,68.0,100.0,45.0,112.0,61.0,28.0,64.0,31.0,28.0,22.0
1384,15.0,20.0,10.0,25.0,17.0,1.0,9.0,3.0,3.0,1.0
1385,15.0,26.0,15.0,28.0,15.0,4.0,12.0,6.0,6.0,4.0
1386,31.0,59.0,20.0,72.0,56.0,15.0,34.0,17.0,25.0,15.0
1387,266.0,364.0,168.0,564.0,290.0,89.0,263.0,129.0,131.0,63.0
1388,24.0,27.0,10.0,52.0,19.0,2.0,17.0,5.0,7.0,6.0
1389,2.0,6.0,6.0,19.0,5.0,3.0,9.0,3.0,3.0,2.0
1390,9.0,13.0,4.0,26.0,10.0,3.0,7.0,2.0,4.0,
1391,7.0,5.0,6.0,9.0,5.0,2.0,1.0,1.0,,1.0
1392,185.0,199.0,75.0,367.0,206.0,43.0,127.0,48.0,67.0,34.0
1393,11.0,10.0,7.0,51.0,25.0,2.0,13.0,9.0,4.0,1.0
1394,220.0,260.0,128.0,449.0,289.0,61.0,177.0,78.0,76.0,55.0
1395,3.0,9.0,2.0,27.0,13.0,1.0,11.0,2.0,5.0,1.0
1396,3.0,6.0,4.0,9.0,5.0,,4.0,2.0,,2.0
1397,6.0,17.0,6.0,18.0,6.0,,7.0,1.0,3.0,4.0
1398,3.0,9.0,6.0,28.0,13.0,5.0,12.0,7.0,1.0,1.0
1399,13.0,14.0,10.0,21.0,10.0,7.0,14.0,3.0,3.0,4.0
1400,13.0,11.0,4.0,22.0,7.0,1.0,15.0,4.0,2.0,1.0
1401,26.0,27.0,12.0,52.0,33.0,9.0,24.0,10.0,10.0,5.0
1402,10.0,15.0,8.0,31.0,19.0,8.0,12.0,8.0,4.0,2.0
1403,9.0,13.0,5.0,33.0,14.0,,11.0,4.0,1.0,4.0
1404,15.0,14.0,5.0,26.0,19.0,,5.0,1.0,,1.0
1405,117.0,197.0,78.0,324.0,174.0,36.0,140.0,65.0,50.0,25.0
1406,27.0,27.0,10.0,51.0,29.0,7.0,15.0,9.0,4.0,6.0
1407,15.0,18.0,6.0,16.0,8.0,3.0,8.0,,4.0,3.0
1408,18.0,21.0,15.0,17.0,14.0,3.0,9.0,3.0,7.0,3.0
1409,18.0,21.0,15.0,17.0,14.0,3.0,9.0,3.0,7.0,3.0
1410,18.0,21.0,15.0,17.0,14.0,3.0,9.0,3.0,7.0,3.0
1411,18.0,21.0,15.0,17.0,14.0,3.0,9.0,3.0,7.0,3.0
1412,21.0,23.0,16.0,20.0,17.0,6.0,4.0,7.0,2.0,2.0
1413,13.0,28.0,8.0,24.0,12.0,3.0,4.0,3.0,1.0,2.0
1414,14.0,18.0,9.0,33.0,19.0,5.0,14.0,4.0,7.0,7.0
1415,14.0,18.0,9.0,33.0,19.0,5.0,14.0,4.0,7.0,7.0
1416,21.0,26.0,7.0,42.0,29.0,5.0,22.0,10.0,6.0,2.0
1417,3.0,5.0,3.0,13.0,8.0,1.0,6.0,2.0,,
1418,3.0,5.0,3.0,13.0,8.0,1.0,6.0,2.0,,
1419,3.0,5.0,3.0,13.0,8.0,1.0,6.0,2.0,,
1420,3.0,5.0,3.0,13.0,8.0,1.0,6.0,2.0,,
1421,14.0,15.0,8.0,37.0,25.0,2.0,21.0,3.0,3.0,
1422,25.0,35.0,17.0,57.0,27.0,6.0,28.0,6.0,4.0,6.0
1423,31.0,38.0,18.0,52.0,30.0,5.0,26.0,11.0,18.0,6.0
1424,12.0,13.0,7.0,21.0,11.0,7.0,15.0,1.0,4.0,7.0
1425,24.0,26.0,20.0,39.0,33.0,4.0,11.0,4.0,6.0,5.0
1426,4.0,6.0,7.0,7.0,3.0,2.0,3.0,,2.0,4.0
1427,25.0,27.0,20.0,39.0,33.0,4.0,12.0,4.0,7.0,5.0
1428,24.0,26.0,20.0,38.0,33.0,4.0,11.0,4.0,6.0,5.0
1429,24.0,26.0,20.0,38.0,33.0,4.0,11.0,4.0,6.0,5.0
