,fear,negative,sadness,positive,trust,surprise,anticipation,joy,anger,disgust
1613,51.0,78.0,31.0,71.0,32.0,15.0,31.0,18.0,12.0,9.0
1614,6.0,4.0,2.0,25.0,17.0,6.0,13.0,7.0,,
1615,12.0,16.0,16.0,18.0,13.0,4.0,9.0,3.0,2.0,
1616,12.0,15.0,7.0,30.0,13.0,5.0,9.0,3.0,4.0,1.0
1617,11.0,17.0,7.0,27.0,19.0,4.0,10.0,11.0,8.0,2.0
1618,5.0,5.0,3.0,9.0,9.0,1.0,3.0,2.0,,1.0
1619,5.0,5.0,3.0,9.0,9.0,1.0,3.0,2.0,,1.0
1620,17.0,20.0,14.0,21.0,22.0,8.0,14.0,1.0,6.0,3.0
1621,2.0,9.0,3.0,24.0,7.0,5.0,5.0,4.0,2.0,1.0
1622,7.0,13.0,6.0,22.0,7.0,,10.0,,1.0,
1623,16.0,22.0,13.0,18.0,14.0,2.0,9.0,,2.0,1.0
1624,16.0,22.0,13.0,18.0,14.0,2.0,9.0,,2.0,1.0
1625,16.0,22.0,13.0,18.0,14.0,2.0,9.0,,2.0,1.0
1626,15.0,21.0,12.0,17.0,12.0,2.0,9.0,,2.0,1.0
1627,9.0,15.0,11.0,17.0,14.0,1.0,5.0,1.0,1.0,1.0
1628,9.0,15.0,6.0,42.0,23.0,3.0,11.0,12.0,5.0,3.0
1629,10.0,13.0,2.0,36.0,22.0,1.0,17.0,7.0,5.0,2.0
1630,10.0,13.0,2.0,36.0,22.0,1.0,17.0,7.0,5.0,2.0
1631,10.0,13.0,2.0,36.0,22.0,1.0,17.0,7.0,5.0,2.0
1632,10.0,16.0,10.0,32.0,22.0,1.0,18.0,6.0,6.0,3.0
1633,20.0,24.0,16.0,27.0,27.0,2.0,12.0,1.0,8.0,5.0
1634,6.0,8.0,7.0,23.0,8.0,3.0,12.0,3.0,4.0,3.0
1635,20.0,21.0,15.0,16.0,7.0,5.0,10.0,2.0,7.0,4.0
1636,8.0,10.0,4.0,10.0,3.0,1.0,13.0,1.0,3.0,2.0
1637,2.0,6.0,4.0,13.0,10.0,1.0,3.0,4.0,3.0,1.0
1638,40.0,37.0,21.0,95.0,52.0,9.0,45.0,12.0,15.0,8.0
1639,17.0,15.0,7.0,30.0,14.0,1.0,14.0,4.0,6.0,1.0
1640,13.0,20.0,12.0,18.0,6.0,1.0,10.0,1.0,3.0,2.0
1641,22.0,26.0,15.0,51.0,25.0,6.0,22.0,8.0,6.0,3.0
1642,10.0,10.0,9.0,21.0,13.0,3.0,8.0,4.0,6.0,4.0
1643,44.0,85.0,39.0,151.0,90.0,23.0,66.0,26.0,21.0,6.0
1644,11.0,12.0,11.0,26.0,15.0,3.0,8.0,5.0,6.0,4.0
1645,14.0,15.0,10.0,17.0,13.0,3.0,12.0,3.0,4.0,6.0
1646,11.0,15.0,8.0,19.0,14.0,3.0,11.0,3.0,4.0,6.0
1647,11.0,21.0,11.0,45.0,22.0,4.0,21.0,2.0,4.0,5.0
1648,12.0,14.0,7.0,19.0,9.0,3.0,7.0,3.0,1.0,2.0
1649,4.0,13.0,7.0,31.0,13.0,1.0,9.0,5.0,10.0,2.0
1650,5.0,4.0,4.0,11.0,8.0,,3.0,1.0,3.0,
1651,8.0,8.0,3.0,7.0,3.0,1.0,4.0,1.0,3.0,1.0
1652,2.0,4.0,1.0,4.0,2.0,1.0,1.0,,2.0,
1653,2.0,3.0,2.0,10.0,2.0,1.0,3.0,,,1.0
1654,2.0,3.0,2.0,10.0,2.0,1.0,3.0,,,1.0
1655,15.0,21.0,12.0,21.0,16.0,4.0,14.0,4.0,5.0,3.0
1656,33.0,32.0,24.0,55.0,40.0,5.0,23.0,11.0,9.0,7.0
1657,23.0,37.0,15.0,41.0,18.0,8.0,30.0,13.0,4.0,5.0
1658,61.0,79.0,39.0,102.0,57.0,20.0,58.0,23.0,25.0,9.0
1659,5.0,6.0,3.0,10.0,10.0,,9.0,2.0,2.0,1.0
1660,46.0,69.0,41.0,104.0,53.0,21.0,47.0,21.0,26.0,9.0
1661,2.0,4.0,2.0,16.0,9.0,1.0,5.0,3.0,1.0,
1662,13.0,14.0,10.0,34.0,20.0,1.0,11.0,3.0,7.0,5.0
1663,8.0,11.0,2.0,24.0,12.0,3.0,14.0,6.0,3.0,2.0
1664,2.0,3.0,3.0,6.0,5.0,1.0,4.0,,,1.0
1665,20.0,33.0,13.0,51.0,33.0,10.0,28.0,9.0,8.0,7.0
1666,12.0,12.0,4.0,47.0,33.0,4.0,25.0,9.0,7.0,1.0
1667,8.0,13.0,10.0,12.0,7.0,4.0,5.0,4.0,4.0,6.0
1668,8.0,11.0,4.0,23.0,18.0,6.0,15.0,6.0,2.0,
1669,10.0,12.0,6.0,14.0,15.0,2.0,5.0,3.0,4.0,3.0
1670,10.0,12.0,6.0,14.0,15.0,2.0,5.0,3.0,4.0,3.0
1671,18.0,21.0,12.0,28.0,12.0,2.0,10.0,4.0,5.0,2.0
1672,6.0,7.0,4.0,7.0,4.0,1.0,5.0,3.0,5.0,1.0
1673,24.0,26.0,13.0,43.0,24.0,4.0,23.0,6.0,4.0,1.0
1674,57.0,71.0,49.0,122.0,64.0,30.0,64.0,34.0,13.0,12.0
1675,241.0,293.0,142.0,385.0,247.0,51.0,158.0,63.0,94.0,48.0
1676,9.0,13.0,3.0,18.0,4.0,,8.0,1.0,5.0,2.0
1677,3.0,8.0,2.0,15.0,7.0,4.0,7.0,5.0,2.0,1.0
1678,143.0,222.0,87.0,324.0,168.0,41.0,119.0,69.0,69.0,28.0
1679,18.0,28.0,12.0,29.0,10.0,8.0,16.0,2.0,3.0,7.0
1680,43.0,71.0,35.0,74.0,39.0,21.0,34.0,26.0,31.0,21.0
1681,23.0,31.0,12.0,65.0,33.0,4.0,25.0,7.0,10.0,8.0
1682,29.0,38.0,25.0,48.0,34.0,8.0,19.0,8.0,5.0,4.0
1683,9.0,12.0,5.0,19.0,14.0,3.0,9.0,3.0,2.0,3.0
1684,15.0,17.0,5.0,25.0,11.0,1.0,7.0,5.0,5.0,3.0
1685,233.0,304.0,122.0,488.0,312.0,56.0,226.0,108.0,113.0,38.0
1686,228.0,313.0,139.0,468.0,289.0,51.0,201.0,48.0,86.0,52.0
1687,11.0,15.0,6.0,36.0,24.0,3.0,14.0,2.0,5.0,1.0
1688,18.0,21.0,2.0,43.0,25.0,5.0,16.0,8.0,15.0,3.0
1689,11.0,8.0,4.0,43.0,26.0,2.0,11.0,9.0,3.0,
1690,12.0,11.0,7.0,52.0,28.0,2.0,13.0,10.0,4.0,1.0
1691,11.0,8.0,4.0,43.0,26.0,2.0,11.0,9.0,3.0,
1692,12.0,11.0,7.0,52.0,28.0,2.0,13.0,10.0,4.0,1.0
1693,11.0,8.0,4.0,43.0,26.0,2.0,11.0,9.0,3.0,
1694,15.0,16.0,7.0,23.0,13.0,2.0,13.0,2.0,6.0,2.0
1695,273.0,383.0,207.0,583.0,263.0,57.0,286.0,87.0,71.0,52.0
1696,261.0,378.0,161.0,522.0,288.0,74.0,206.0,102.0,88.0,43.0
1697,153.0,192.0,96.0,348.0,189.0,51.0,135.0,66.0,73.0,40.0
1698,9.0,7.0,5.0,14.0,4.0,1.0,9.0,3.0,,
1699,9.0,7.0,5.0,14.0,4.0,1.0,9.0,3.0,,
1700,9.0,7.0,5.0,16.0,4.0,1.0,11.0,3.0,,
1701,11.0,11.0,6.0,29.0,12.0,3.0,9.0,2.0,6.0,3.0
1702,7.0,9.0,3.0,17.0,12.0,3.0,9.0,6.0,2.0,
1703,31.0,38.0,19.0,37.0,20.0,5.0,13.0,7.0,26.0,16.0
1704,89.0,123.0,62.0,124.0,80.0,34.0,67.0,33.0,33.0,24.0
1705,40.0,51.0,28.0,75.0,33.0,9.0,38.0,12.0,16.0,12.0
1706,25.0,25.0,13.0,52.0,32.0,2.0,21.0,8.0,7.0,9.0
1707,25.0,25.0,13.0,52.0,32.0,2.0,21.0,8.0,7.0,9.0
1708,17.0,20.0,8.0,19.0,12.0,3.0,10.0,,4.0,3.0
1709,66.0,118.0,51.0,131.0,83.0,29.0,71.0,22.0,30.0,27.0
1710,25.0,32.0,18.0,36.0,19.0,7.0,24.0,4.0,14.0,7.0
1711,25.0,32.0,18.0,36.0,19.0,7.0,24.0,4.0,14.0,7.0
1712,25.0,32.0,18.0,36.0,19.0,7.0,24.0,4.0,14.0,7.0
1713,11.0,13.0,4.0,22.0,19.0,,9.0,3.0,3.0,3.0
