,title,publication,date,exclude,MWPS,MStopWPS,sentence_per_article,Burnet,Doherty,BlakelyThompson,text_sentiment,title_word_count,title_stop_words,title_sent,title_fear,mean_title_sent
38," Victoria records highest-ever daily COVID-19 total, with five deaths and 1,438 new cases:   Victorian authorities say illegal gatherings and house parties over the grand final day long weekend are behind the dramatic jump of 1,438 new COVID-19 infections in the state.", ABC Premium News; Sydney," Sep 29, 2021",0,24.74390244,7.975609756,82,Burnet,Doherty,,0.019097713,44,10,-2,3,-0.058823529
39, The Victorian Health Department is facing nearly $100 million in fines," The Daily Telegraph (Online); Surrey Hills, N.S.W."," Sep 29, 2021",0,21.20833333,6.583333333,24,Burnet,,,0.022223201,12,2,0,0,0
40, Victorian paramedics under ‘huge stress’ with highest number of triple-0 calls in years," News.com.au; Sydney, N.S.W."," Sep 29, 2021",0,33.9375,12.375,16,Burnet,,,0.056021024,15,4,-1,0,-0.090909091
41, LNP’s complaint that Premier Annastacia Palaszczuk misled parliament on Covid modelling dismissed," The Courier - Mail (Online); Brisbane, Qld."," Sep 29, 2021",0,31.92307692,12.53846154,13,,Doherty,,0.015761822,14,3,-2,1,-0.181818182
42, Covid and borders: Peter Gutwein reveals what opening up will mean for Tassie, The Mercury (Online); Hobart Town," Sep 29, 2021",0,35.36,12.4,25,,Doherty,,0.00075205,14,5,0,0,0
43, Andrew Bolt: Doom and gloom virus models holding Victorians hostage, Herald Sun (Online); Melbourne," Sep 29, 2021",0,20.53488372,6.558139535,43,Burnet,Doherty,,-0.012210413,11,1,-2,1,-0.2
44, Burnet Institute refusing to return JobKeeper despite $60m surplus," The Daily Telegraph (Online); Surrey Hills, N.S.W."," Sep 29, 2021",0,42.08333333,13.41666667,12,Burnet,,,0.018427374,10,1,-1,0,-0.111111111
45, Victoria’s Covid Delta peak to hit higher number than NSW," The Daily Telegraph (Online); Surrey Hills, N.S.W."," Sep 29, 2021",0,20,6.25,24,Burnet,,,0.003807534,12,3,-1,0,-0.111111111
46, Qld to record at least one new virus case, AAP General News Wire; Sydney," Sep 29, 2021",1,31.85714286,9.142857143,7,,,,0.046555395,9,2,-1,0,-0.142857143
47, Qld sweats on test results after new cases, AAP General News Wire; Sydney," Sep 29, 2021",1,27.33333333,11,3,,,,-0.00122549,8,2,0,0,0
48, Queensland Speaker dismisses LNP referral of Palaszczuk to parliamentary committee over Doherty COVID modelling:   A referral made by the Queensland Opposition alleging Premier Annastacia Palaszczuk deliberately misled Parliament over Doherty Institute COVID modelling is dismissed by the Speaker., ABC Premium News; Sydney," Sep 29, 2021",0,27.2,9.7,20,,Doherty,,0.01010965,40,9,-2,1,-0.064516129
49," When are COVID disaster payments ending and why is the government phasing them out?:   The federal government has outlined how the payments, which are designed to support people who have lost work during lockdowns, will be phased out as more Australians are vaccinated.", ABC Premium News; Sydney," Sep 29, 2021",0,23.54166667,8.125,48,,Doherty,,-0.019741416,48,22,-6,3,-0.230769231
50," Tasmania needs 90 per cent COVID vaccination rate before fully opening borders, Premier warns:   Tasmania's Premier warns the state will not reopen its borders to all interstate travellers until it reaches a 90 per cent vaccination rate, saying modelling for an 80 per cent target shows the state could record nearly 15,000 COVID cases in six months.", ABC Premium News; Sydney," Sep 29, 2021",0,34.6,12.6,35,,Doherty,,0.004344058,62,14,-1,2,-0.020833333
51, Tasmania doubles down on tough borders, AAP Bulletin Wire; Sydney," Sep 29, 2021",0,21.47619048,7.19047619,21,,Doherty,,0.020774087,6,2,-1,0,-0.25
52, Tasmania doubles down on tough borders, AAP General News Wire; Sydney," Sep 29, 2021",0,28,8.5,2,,,,-0.052139037,6,2,-1,0,-0.25
53, 'Unprecedented demand' hits triple zero, AAP General News Wire; Sydney," Sep 29, 2021",1,31.66666667,10,3,,,,-0.091630592,6,0,-2,0,-0.333333333
54, Vic child dies after family on hold to 000, AAP General News Wire; Sydney," Sep 29, 2021",1,28.5,11,4,,,,-0.115196078,9,3,0,1,0
55, State on edge as lockdown looms," The Courier - Mail; Brisbane, Qld."," Sep 29, 2021",0,32.92307692,9.179487179,39,,Doherty,,0.022427434,6,2,-1,1,-0.25
56, Q & A," Herald Sun; Melbourne, Vic."," Sep 29, 2021",0,20.78947368,6.315789474,19,Burnet,,,0.032876911,3,0,0,0,0
57, State on edge as lockdown looms," The Courier - Mail; Brisbane, Qld."," Sep 29, 2021",0,32.92307692,9.179487179,39,,Doherty,,0.022427434,6,2,-1,1,-0.25
58, State on edge as lockdown looms," The Courier - Mail; Brisbane, Qld."," Sep 29, 2021",0,32.92307692,9.179487179,39,,Doherty,,0.022427434,6,2,-1,1,-0.25
59, No fines for businesses letting in unvaxxed customers," The Daily Telegraph; Surry Hills, N.S.W."," Sep 29, 2021",0,23.3125,7.8125,16,,,,0.058112738,8,2,1,0,0.166666667
60, Vaccinating children ‘to slash hospital rates’," The Australian; Canberra, A.C.T."," Sep 29, 2021",0,26.14285714,9.535714286,28,,Doherty,Blakely,0.065058626,8,1,1,1,0.142857143
61, State on edge as lockdown looms," The Courier - Mail; Brisbane, Qld."," Sep 29, 2021",0,32.92307692,9.179487179,39,,Doherty,,0.022427434,6,2,-1,1,-0.25
62, No fines for businesses letting in unvaxxed customers," The Daily Telegraph; Surry Hills, N.S.W."," Sep 29, 2021",0,23.3125,7.8125,16,,,,0.058112738,8,2,1,0,0.166666667
63, Vaccinating children ‘to slash hospital rates’," The Australian; Canberra, A.C.T."," Sep 29, 2021",0,26.14285714,9.535714286,28,,Doherty,Blakely,0.065058626,8,1,1,1,0.142857143
64," Vic paramedics, triple zero under pressure", AAP General News Wire; Sydney," Sep 29, 2021",1,30.5,11.75,4,,,,-0.064473684,7,1,-1,0,-0.166666667
65, COVID - is our health system ready?," Merimbula News Weekly; Merimbula, N.S.W."," Sep 29, 2021",0,17.03846154,5.923076923,26,,Doherty,,0.014800654,8,2,0,0,0
66, Comment - COVID raises the stakes," Milton Ulladulla Times; Ulladulla, N.S.W."," Sep 29, 2021",0,18.82857143,6.742857143,35,,Doherty,,0.02928156,6,1,0,0,0
67, Comment - COVID raises the stakes," South Coast Register; Nowra, N.S.W."," Sep 29, 2021",0,18.82857143,6.742857143,35,,Doherty,,0.02928156,6,1,0,0,0
